ID_Cliente,Nombre_Cliente,Segmento,Puntaje_Fidelidad,Canal_Preferido,Cantidad_Pedidos,Monto_Total_Comprado,Ganancia_Total_Generada,Region,Estado,Ciudad,Anio_Ultima_Compra,Ticket_Promedio
C0001,Fernanda Díaz,Consumidor,55,Web,2,3908.37,1835.42,Norte,Tarapacá,Iquique,2023,1954.19
C0002,Valentina Muñoz,Home Office,58,Web,5,20655.07,6567.03,Austral,Aysén,Coyhaique,2024,4131.01
C0003,Diego Castillo,Corporativo,100,App,2,7005.7,2551.35,Austral,Magallanes,Punta Arenas,2025,3502.85
C0004,Nicolás Silva,Corporativo,22,App,5,25636.41,8560.11,Sur,Los Lagos,Puerto Montt,2024,5127.28
C0005,Daniela Rodríguez,Consumidor,36,Teléfono,6,27152.27,9017.95,Austral,Magallanes,Punta Arenas,2025,4525.38
C0006,Vicente Rojas,Home Office,78,App,8,30261.86,10139.25,Norte,Tarapacá,Iquique,2024,3782.73
C0007,Daniela López,Corporativo,97,App,4,22823.71,6717.39,Sur,Los Ríos,Valdivia,2024,5705.93
C0008,Jorge Muñoz,Corporativo,18,Teléfono,6,36040.74,12705.12,Centro,Maule,Talca,2025,6006.79
C0009,Isidora Morales,Consumidor,60,Correo,5,16642.91,4098.42,Centro,O'Higgins,Rancagua,2024,3328.58
C0010,Valentina Pérez,Consumidor,84,Teléfono,4,22068.18,6707.2,Centro,Maule,Talca,2024,5517.04
C0011,Paula Rodríguez,Consumidor,21,Correo,3,7274.24,1245.79,Norte,Coquimbo,La Serena,2025,2424.75
C0012,Sofía Soto,Home Office,59,Web,5,30510.52,10060.28,Norte,Tarapacá,Iquique,2025,6102.1
C0013,Daniela Araya,Corporativo,97,Web,4,13652.79,2708.5,Centro,O'Higgins,Rancagua,2024,3413.2
C0014,Isidora Flores,Corporativo,24,Teléfono,8,41675.18,12851.47,Norte,Antofagasta,Antofagasta,2025,5209.4
C0015,Pedro Hernández,Consumidor,74,App,6,35274.44,11832.12,Centro,Maule,Talca,2024,5879.07
C0016,Diego Araya,Home Office,57,App,6,22067.25,5322.68,Sur,Biobío,Concepción,2024,3677.88
C0017,Javiera Araya,Consumidor,72,Sin Información,2,10366.07,2544.79,Centro,Valparaíso,Valparaíso,2024,5183.04
C0018,Vicente Rodríguez,Corporativo,40,Web,2,13004.26,4941.69,Centro,Valparaíso,Valparaíso,2025,6502.13
C0019,Matías Torres,Consumidor,26,App,3,9711.2,2628.39,Austral,Aysén,Coyhaique,2024,3237.07
C0020,Pedro Martínez,Home Office,37,Correo,2,2353.78,642.09,Norte,Antofagasta,Antofagasta,2024,1176.89
C0021,Martina Contreras,Home Office,95,Correo,4,15342.13,4558.59,Sur,Los Ríos,Valdivia,2025,3835.53
C0022,Isidora Araya,Corporativo,38,App,1,5128.74,2391.65,Austral,Aysén,Coyhaique,2024,5128.74
C0023,Ana Espinoza,Home Office,10,App,5,18674.66,5667.69,Norte,Antofagasta,Antofagasta,2023,3734.93
C0024,Catalina Muñoz,Consumidor,52,Web,5,24716.58,7814.47,Norte,Coquimbo,La Serena,2025,4943.32
C0025,Jorge Martínez,Home Office,79,App,6,31440.16,11051.24,Centro,Valparaíso,Valparaíso,2025,5240.03
C0026,Vicente Espinoza,Home Office,70,App,3,23764.41,7726.29,Centro,Maule,Talca,2023,7921.47
C0027,Carlos Díaz,Home Office,64,Teléfono,2,9160.09,3154.79,Sur,La Araucanía,Temuco,2025,4580.04
C0028,Benjamín Muñoz,Home Office,17,Web,9,25334.35,9463.48,Austral,Magallanes,Punta Arenas,2024,2814.93
C0029,Fernanda Díaz,Consumidor,78,App,3,21057.53,6604.26,Austral,Aysén,Coyhaique,2024,7019.18
C0030,Sebastián Soto,Corporativo,19,App,5,23739.32,8894.75,Sur,Los Ríos,Valdivia,2025,4747.86
C0031,Carlos Muñoz,Home Office,21,Web,1,12467.16,4668.45,Centro,O'Higgins,Rancagua,2023,12467.16
C0032,Sebastián Torres,Corporativo,17,Correo,5,22453.71,6823.11,Centro,Metropolitana,Santiago,2025,4490.74
C0033,Ana López,Corporativo,64,Teléfono,4,12325.03,3008.68,Norte,Tarapacá,Iquique,2025,3081.26
C0034,Camila Sepúlveda,Consumidor,50,Sin Información,4,26691.45,8077.96,Norte,Tarapacá,Iquique,2025,6672.86
C0035,Josefa Torres,Home Office,17,App,4,27228.88,8783.95,Austral,Aysén,Coyhaique,2024,6807.22
C0036,Benjamín Soto,Consumidor,96,Web,3,13158.03,3364.39,Centro,O'Higgins,Rancagua,2024,4386.01
C0037,Carlos Espinoza,Consumidor,89,Web,6,23951.75,6855.12,Austral,Aysén,Coyhaique,2024,3991.96
C0038,Nicolás Espinoza,Home Office,43,Teléfono,1,8734.32,2907.01,Sur,Biobío,Concepción,2023,8734.32
C0039,Martina Morales,Consumidor,26,Correo,0,0.0,0.0,Sur,La Araucanía,Temuco,0,0.0
C0040,Fernanda Rojas,Consumidor,19,Web,2,9548.3,1934.19,Sur,Los Ríos,Valdivia,2025,4774.15
C0041,Antonia Martínez,Consumidor,41,Web,2,7859.7,2550.35,Centro,Metropolitana,Santiago,2023,3929.85
C0042,Pedro Hernández,Home Office,95,Web,4,15363.98,4926.15,Centro,Metropolitana,Santiago,2024,3841.0
C0043,Carlos Pérez,Corporativo,80,Web,7,16129.18,4314.1,Austral,Magallanes,Punta Arenas,2025,2304.17
C0044,Diego Castillo,Consumidor,97,App,3,13509.73,4280.21,Austral,Magallanes,Punta Arenas,2024,4503.24
C0045,Felipe Martínez,Consumidor,45,Correo,1,7028.01,2651.45,Sur,La Araucanía,Temuco,2023,7028.01
C0046,Fernanda Pérez,Home Office,66,App,4,12618.87,4978.21,Sur,La Araucanía,Temuco,2025,3154.72
C0047,Ana Díaz,Consumidor,57,Web,6,34038.42,12447.24,Centro,O'Higgins,Rancagua,2025,5673.07
C0048,Sofía Muñoz,Corporativo,55,Web,3,14737.73,5654.91,Sur,Los Lagos,Puerto Montt,2025,4912.58
C0049,Jorge Díaz,Corporativo,89,Correo,0,0.0,0.0,Norte,Antofagasta,Antofagasta,0,0.0
C0050,Benjamín Soto,Consumidor,32,Web,6,21927.18,6746.4,Sur,La Araucanía,Temuco,2025,3654.53
C0051,Gabriel Silva,Corporativo,58,Sin Información,0,0.0,0.0,Centro,Metropolitana,Santiago,0,0.0
C0052,Jorge Contreras,Corporativo,39,Teléfono,8,48640.01,15892.71,Sur,La Araucanía,Temuco,2025,6080.0
C0053,Nicolás Contreras,Corporativo,18,Teléfono,2,17737.7,6211.38,Norte,Tarapacá,Iquique,2024,8868.85
C0054,Catalina Araya,Corporativo,13,Teléfono,11,45130.23,13941.3,Sur,La Araucanía,Temuco,2025,4102.75
C0055,Pedro Espinoza,Corporativo,86,Web,4,25694.96,8241.65,Norte,Coquimbo,La Serena,2025,6423.74
C0056,Matías Morales,Corporativo,59,Web,7,27417.66,12586.06,Centro,Metropolitana,Santiago,2025,3916.81
C0057,Luis Fuentes,Consumidor,56,App,9,43536.08,13123.13,Sur,Los Lagos,Puerto Montt,2024,4837.34
C0058,Nicolás Morales,Home Office,48,Web,5,19679.15,6238.89,Norte,Coquimbo,La Serena,2024,3935.83
C0059,Nicolás Fuentes,Corporativo,80,Teléfono,2,7825.61,2449.39,Sur,Biobío,Concepción,2024,3912.8
C0060,Sebastián López,Home Office,61,Teléfono,3,11326.4,4658.72,Norte,Antofagasta,Antofagasta,2023,3775.47
C0061,Diego Sepúlveda,Consumidor,69,Teléfono,3,18534.93,5734.18,Norte,Tarapacá,Iquique,2025,6178.31
C0062,Nicolás Contreras,Home Office,94,App,2,8686.72,1411.57,Centro,Maule,Talca,2023,4343.36
C0063,Antonia Castillo,Corporativo,96,App,2,13710.57,3705.46,Sur,Los Lagos,Puerto Montt,2025,6855.28
C0064,Gabriel Contreras,Consumidor,41,Web,1,510.48,143.86,Sur,La Araucanía,Temuco,2024,510.48
C0065,Benjamín Rojas,Corporativo,99,App,4,31152.59,8816.97,Sur,Los Ríos,Valdivia,2024,7788.15
C0066,Paula Silva,Consumidor,23,Web,3,14461.06,3278.3,Centro,Valparaíso,Valparaíso,2024,4820.35
C0067,Pedro Araya,Corporativo,25,App,3,21318.12,6528.08,Norte,Antofagasta,Antofagasta,2024,7106.04
C0068,Gabriel Hernández,Home Office,66,Sin Información,4,21468.0,6797.85,Centro,Valparaíso,Valparaíso,2024,5367.0
C0069,Constanza Flores,Corporativo,67,Correo,4,26526.84,7890.78,Norte,Antofagasta,Antofagasta,2024,6631.71
C0070,Constanza Martínez,Home Office,45,App,1,2778.21,874.2,Centro,Metropolitana,Santiago,2024,2778.21
C0071,Martina Sepúlveda,Consumidor,50,Teléfono,3,16665.85,5851.64,Norte,Coquimbo,La Serena,2025,5555.28
C0072,Sofía Pérez,Consumidor,100,App,6,27074.66,7958.87,Centro,Maule,Talca,2025,4512.44
C0073,Sebastián Fuentes,Corporativo,63,Correo,3,7701.12,3562.8,Austral,Aysén,Coyhaique,2025,2567.04
